Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Propertius Elegies,elegy,0.00748,0.00398,0.00006,0.00027,0.00031,0.00016,0.00058,0.00013,0,0,0,0.0002,0.00009,0.0006,0.00139,0.00237,0.00158,0.00003,0.00001,0.26869,29.21205,0.00013,0.00034,0.01175,0.00014,89.62651
Prudentius Apotheosis,epic,0.00139,0.00249,0,0.00115,0.00014,0.00019,0.00136,0.00019,0,0,0,0.00026,0.00005,0.00113,0.0008,0.00315,0.00186,0.00019,0.00021,0.53476,31.05143,0.00026,0.0004,0.01313,0.00005,160.06015
Prudentius Contra Symmachum Part 1,epic,0.001,0.0024,0.00007,0.00067,0.00007,0.00015,0.00059,0.00018,0,0,0,0.0003,0.00004,0.00089,0.00089,0.00322,0.00081,0.00015,0.00022,0.40833,40.06494,0.00026,0.00018,0.01361,0.00007,190.47887
Prudentius Contra Symmachum Part 2,epic,0.00186,0.00211,0.00009,0.00069,0.00016,0.00023,0.00046,0.00028,0.00002,0,0,0.00021,0.00009,0.00073,0.00083,0.00266,0.00152,0.00025,0.00018,0.50476,34.90556,0.0003,0.00023,0.01517,0.00009,157.82971
Prudentius Dittochaeon,miscellaneous,0.0004,0.00323,0,0.00054,0.0004,0.00013,0.0004,0.00013,0,0,0,0.0004,0,0.00027,0,0.00364,0,0.00027,0.00067,0.25,36.45833,0.00013,0.00013,0.00983,0.00013,103.13889
Prudentius Epilogus,miscellaneous,0.00262,0.00131,0,0,0,0,0,0,0,0,0,0,0,0.00262,0,0.00131,0,0,0,0.2,42.5,0,0,0.01311,0,76.3
Prudentius Hamartigenia,epic,0.00108,0.00234,0.00003,0.00079,0.00008,0.00034,0.00082,0.00013,0,0,0,0.00047,0.00008,0.00079,0.00084,0.00366,0.001,0.00016,0.00034,0.5034,40.75862,0.00045,0.00024,0.01332,0.00005,205.35676
Prudentius Psychomachia,epic,0.0013,0.00168,0,0.00083,0.00014,0.00006,0.0005,0.00006,0,0,0,0.00047,0.00011,0.00058,0.00036,0.00334,0.00072,0.00017,0.00014,0.30672,41.44554,0.00019,0.00011,0.01178,0.00014,137.34848
Rutilius De Reditu,elegy,0.00142,0.0018,0.00004,0.00038,0,0.00021,0.00071,0.00004,0.00004,0,0,0.00071,0.00008,0.00029,0.00063,0.00176,0.00034,0.00021,0.00004,0.33654,37.8022,0.00017,0.00021,0.00968,0.00004,110.5
Seneca Agamemnon,drama,0.0031,0.00241,0,0.00043,0.00046,0.00036,0.00059,0.0001,0,0.00003,0,0.00007,0.00007,0.00069,0.00049,0.00122,0.0031,0,0,0.18533,36.57627,0.00026,0.00033,0.01112,0.00026,85.88669
Seneca Hercules Furens,drama,0.00312,0.00276,0.00002,0.00034,0.00024,0.00014,0.0007,0.00007,0.00002,0.00005,0,0.00017,0.00005,0.00058,0.0006,0.00147,0.00365,0,0.00007,0.22727,38.35955,0.0005,0.00022,0.01235,0.00029,91.04595
Seneca Hercules Oetaeus,drama,0.00474,0.00362,0.00002,0.00026,0.00026,0.00018,0.00082,0.00005,0,0.00003,0,0.00035,0.00005,0.00067,0.00104,0.00217,0.00418,0.00002,0.00007,0.23881,30.97143,0.00076,0.00031,0.01086,0.00043,84.19668
Seneca Medea,drama,0.00341,0.00282,0,0.00023,0.00045,0.0001,0.00071,0.00003,0.00003,0,0,0.00026,0.00006,0.00075,0.00114,0.00198,0.00256,0,0.00003,0.28058,31.06061,0.00055,0.00029,0.01146,0.00013,86.77183
