Ancient Greek Verse Data
Code Repo: https://github.com/QuantitativeCriticismLab/greek-genre-classification.git,Corpus: https://github.com/timgianitsos/tesserae.git,Code commit: 42fe37028967abbe15270d3e021bcfb3848ecdc8,Corpus commit: 60a0b5c14f1ecc6269607eb9f426d7e8abb92fd0,Project: https://www.qcrit.org,Author: Tim Gianitsos,Note: Frequencies are per-character
file name,freq_allos,freq_autos,freq_circumstantial_markers,freq_conditional_markers,freq_conjunction,freq_demonstrative,freq_hina,freq_hopos,freq_indefinite_pronoun_in_non_interrogative_sentence,freq_interrogatives,freq_men,freq_particles,freq_personal_pronouns,freq_reflexive,freq_sentence_with_relative_clause,freq_sentences_with_vocative_omega,freq_superlative,freq_temporal_causal_markers,freq_ws,freq_wste_not_preceded_by_eta,mean_length_relative_clause,mean_sentence_length,variance_of_sentence_length
apollonius.argonautica.part.4.tess,0.0004990931112977638,0.0007668991710185151,0.00026780605972075134,0.00035301707872280856,0.007072514577170751,0.0005477851221560822,0.00014607603257495527,1.2173002714579606e-05,0.0005213893785535169,0.036072144288577156,0.0012538192796016994,0.010931356437692486,0.0008034181791622539,0.0,0.19438877755511022,0.008016032064128256,0.00023128705157701251,0.0005599581248706618,0.0002556330570061717,1.2173002714579606e-05,40.87931034482759,164.62725450901803,8797.015369416184
aristophanes.acharnians.tess,0.0001887465134324602,0.0008388733930331564,0.00014680284378080238,0.0006710987144265252,0.005851141916406267,0.0019294088039762598,0.00027263385273577586,0.00025166201790994695,0.000965513826653133,0.2614213197969543,0.0008598452278589854,0.0073401421890401195,0.0059979447601870685,0.00014680284378080238,0.05710659898477157,0.09644670050761421,0.00027263385273577586,0.0003355493572132626,0.0009017888975106432,4.194366965165782e-05,27.25531914893617,60.51142131979695,3718.5442857970884
aristophanes.birds.tess,0.00018622774220350394,0.0010887160313435616,0.00014325210938731072,0.0006732849141203605,0.0065895970318162935,0.0020485051642385433,0.000386780695345739,0.00012892689844857966,0.0014113711209074594,0.31797235023041476,0.0011460168750984858,0.008065093758505594,0.006288767602102941,7.162605469365536e-05,0.06175115207373272,0.05806451612903226,0.00028650421877462145,0.00034380506252954576,0.0007449109688140158,0.00011460168750984858,34.394366197183096,64.33824884792627,4532.548260527941
aristophanes.clouds.tess,0.00023776312452447376,0.001331473497337053,0.00020606137458787724,0.0006657367486685265,0.007576718234846564,0.00226667512046665,0.000253613999492772,0.0004121227491757545,0.0010566067270628289,0.3028747433264887,0.0007449911235100177,0.007671823484656353,0.005991630738016738,0.00017435962465128075,0.0728952772073922,0.08316221765913757,0.00030116662439766677,0.000507227998985544,0.0008717981232564038,0.00014265787471468426,30.59493670886076,64.77207392197126,4476.40390185902
aristophanes.ecclesiazusae.tess,0.00024155075585257353,0.0011674953199541053,0.00032206767447009804,0.0006843938082489583,0.006320578111475674,0.0023349906399082105,0.00042271382274200367,0.00032206767447009804,0.0012913600701720189,0.27386934673366836,0.0009259445641015318,0.009360091789287223,0.006280319652166912,0.0001409046075806679,0.07035175879396985,0.059045226130653265,0.0004025845930876225,0.0008252984158296262,0.0008252984158296262,0.00010064614827190563,29.303571428571427,62.4108040201005,3178.9128983485257
aristophanes.frogs.tess,0.0001167308686444211,0.001017226141044241,0.00016675838377774442,0.0007337368886220755,0.007971050744576184,0.0021678589891106774,0.0003835442826888122,0.0002001100605332933,0.0011230547088079577,0.2689161554192229,0.0009838744642886922,0.008654760118064935,0.004869344806310137,0.0002001100605332933,0.06237218813905931,0.06032719836400818,0.00041689595944436106,0.0006837093734887522,0.0006670335351109777,1.6675838377774442e-05,38.17391304347826,61.3159509202454,4546.2917905579125
aristophanes.knights.tess,0.00018901642724585883,0.0015636813526702866,0.00010309986940683209,0.0008935322015258781,0.008110523060004125,0.002079180699704447,0.0005498659701697711,0.00030929960822049623,0.0006110541669951904,0.2190132370637786,0.0008247989552546567,0.007715306893944601,0.007629390336105575,0.00020619973881366417,0.08303249097472924,0.10589651022864019,0.00041239947762732835,0.0005154993470341604,0.000841982266822462,0.00012028318097463743,36.821917808219176,70.03128760529482,4565.999021085757
aristophanes.lysistrata.tess,5.801697963604015e-05,0.0009282716741766424,0.00017405093890812044,0.0010829836198727495,0.00657525769208455,0.0023593571718656327,0.00015471194569610707,0.0003481018778162409,0.0013286829430327188,0.25029239766081873,0.0008702546945406022,0.008837919897890116,0.0071941054748689785,0.0001353729524840937,0.05263157894736842,0.11695906432748537,0.00030942389139221413,0.0004254578506642944,0.001063644626660736,7.735597284805353e-05,32.89090909090909,60.47836257309942,3336.427309599533
aristophanes.peace.tess,0.00022907758094074527,0.0012790164935858278,0.00017180818570555894,0.000668142944410507,0.006891417226634087,0.0023480452046426388,0.0003436163714111179,0.0002672571777642028,0.001174098934449835,0.24108241082410825,0.0007635919364691509,0.007215943799633476,0.005306963958460599,7.635919364691509e-05,0.07134071340713408,0.14022140221402213,0.0005154245571166768,0.0005726939523518632,0.0012026572999389127,0.00011453879047037264,35.95238095238095,64.4329643296433,4323.015493918772
aristophanes.plutus.tess,0.00015482872072769498,0.0014128120766402168,0.0004257789820011612,0.0009289723243661699,0.006909231662473389,0.002148248500096768,0.0002903038513644281,0.00017418231081865686,0.001490066225165563,0.27532777115613827,0.0013353977162763693,0.009870330946390556,0.007547900135475131,0.00011612154054577124,0.08104886769964244,0.066746126340882,0.0003870718018192375,0.0004257789820011612,0.0012386297658215598,7.741436036384749e-05,29.840579710144926,61.585220500595945,2792.41198657235
aristophanes.thesmophoriazusae.tess,0.0001709328661168326,0.0012606298876116405,0.00023503269091064484,0.0006837314644673304,0.006922781077731721,0.0026921926413401138,0.0003845989487628734,0.00023503269091064484,0.0013668600902643456,0.2865707434052758,0.0010255971967009956,0.007820178624845093,0.007029614119054741,0.0002563992991752489,0.0539568345323741,0.09112709832134293,0.00014956625785222854,0.000534165206615102,0.0009187641553779753,2.1366608264604075e-05,35.5531914893617,56.117505995203835,3692.559333827906
aristophanes.wasps.tess,0.00012395029593133153,0.0014874035511759783,0.00013944408292274798,0.0007746893495708221,0.006522884323386322,0.0024944997056180473,0.00030987573982832885,0.0002943819528369124,0.0013611533984060177,0.2142064372918979,0.0006972204146137398,0.007049673081094481,0.0065693656843605714,0.00026339437885407953,0.07436182019977802,0.09100998890122086,0.0004028384617768275,0.000666232840630907,0.0011310464503734002,9.296272194849865e-05,34.44927536231884,71.63374028856826,4458.385276687276
bacchylides.dithyrambs.tess,0.0,0.00011442956860052638,0.0,0.00034328870580157915,0.006980203684632109,0.0005721478430026318,0.0,0.0,0.00036760200955765227,0.1951219512195122,0.0004577182744021055,0.006179196704428424,0.001487584391806843,0.0,0.24390243902439024,0.04878048780487805,0.0006865774116031583,0.000915436548804211,0.0,0.0,41.4,213.14634146341464,28055.051754907796
