Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Tacitus Agricola,history,0.00095,0.00234,0.00024,0.00052,0.00002,0.00048,0.00095,0.00038,0,0,0.00005,0.00005,0.00002,0.00124,0.00076,0.0031,0.00012,0.001,0.00002,0.41176,36.49032,0.00026,0.00024,0.01859,0,142.68027
Tacitus Annales Part 1,history,0.00037,0.00297,0.00027,0.00083,0.00004,0.00074,0.00055,0.00061,0,0.00001,0.00003,0.00018,0.00004,0.00139,0.00081,0.00401,0.00043,0.00033,0.00004,0.42827,37.61569,0.0004,0.00022,0.01475,0.00001,133.06496
Tacitus Annales Part 11,history,0.0005,0.00353,0.00027,0.00061,0,0.00047,0.0004,0.00067,0,0.00007,0.00003,0.00017,0.00017,0.00104,0.00084,0.00363,0.00027,0.00064,0.00007,0.43961,41.90678,0.00034,0.0002,0.01419,0.00007,138.29767
Tacitus Annales Part 12,history,0.00036,0.00342,0.00006,0.00062,0,0.00034,0.00049,0.00038,0,0,0,0.00019,0.00015,0.0011,0.00089,0.00337,0.00004,0.00021,0.00006,0.41888,40.18232,0.00034,0.00017,0.01528,0,138.19355
Tacitus Annales Part 13,history,0.00021,0.00385,0.00025,0.00083,0,0.0006,0.00046,0.0005,0.00002,0,0.00002,0.00017,0.00012,0.00137,0.001,0.00352,0.00023,0.00031,0.00006,0.52201,38.91509,0.00027,0.00019,0.01511,0,146.43902
Tacitus Annales Part 14,history,0.00058,0.00334,0.00016,0.00087,0.00002,0.0004,0.00056,0.00044,0.00002,0,0.00004,0.00028,0.00014,0.00121,0.00095,0.00286,0.00054,0.0002,0.00008,0.47175,41.81481,0.00062,0.00018,0.01586,0,132.06037
Tacitus Annales Part 15,history,0.00023,0.00308,0.00019,0.00087,0,0.00049,0.00054,0.00038,0,0.00002,0,0.00035,0.00014,0.00113,0.00064,0.00364,0.0001,0.00026,0.00007,0.48677,39.344,0.00021,0.00009,0.01641,0,149.61719
Tacitus Annales Part 16,history,0.00033,0.00346,0.00021,0.00078,0.00012,0.00053,0.00062,0.00062,0,0,0,0.00033,0.00008,0.00132,0.00095,0.00366,0.00008,0.00016,0.00004,0.49708,37.49123,0.00041,0.00012,0.0158,0,139.71839
Tacitus Annales Part 2,history,0.00031,0.00325,0.00026,0.00087,0.00003,0.00061,0.0003,0.00064,0,0.00003,0.00003,0.00017,0.00003,0.00142,0.001,0.00401,0.00012,0.00034,0.00008,0.40169,37.41841,0.00034,0.00028,0.0157,0,133.63825
Tacitus Annales Part 3,history,0.0005,0.00358,0.00021,0.00074,0.00005,0.00052,0.00059,0.00057,0,0,0.00003,0.0001,0.00003,0.00152,0.00099,0.00408,0.00033,0.00043,0.00016,0.42588,39.7166,0.00057,0.00033,0.01616,0.00002,129.90337
