Ancient Greek Prose Data,Code Repo: https://github.com/QuantitativeCriticismLab/greek-genre-classification.git,Corpus: https://github.com/timgianitsos/tesserae.git,Code commit: 116ab759730f9312abc012cfe6e0f24933d1bc47,Corpus commit: 60a0b5c14f1ecc6269607eb9f426d7e8abb92fd0,Project: https://www.qcrit.org,Author: Tim Gianitsos,Note: Frequencies are per-character,,,,,,,,,,,,,,,,
file name,freq_allos,freq_autos,freq_circumstantial_markers,freq_conditional_markers,freq_conjunction,freq_demonstrative,freq_hina,freq_hopos,freq_indefinite_pronoun_in_non_interrogative_sentence,freq_interrogatives,freq_men,freq_particles,freq_personal_pronouns,freq_reflexive,freq_sentence_with_relative_clause,freq_sentences_with_vocative_omega,freq_superlative,freq_temporal_causal_markers,freq_ws,freq_wste_not_preceded_by_eta,mean_length_relative_clause,mean_sentence_length,variance_of_sentence_length
andocides.on_the_mysteries.tess,0.0006383793675788399,0.002459888496403796,0.00014469932331787037,0.0012512235604545262,0.010980125122356046,0.0036855768821551687,0.00021279312252627994,0.00011916414861471678,0.0009492927299215189,0.14022662889518414,0.0022130484742733116,0.009260756692343703,0.005498574286079074,0.0006724262671830446,0.24220963172804533,0.12322946175637393,0.0003745158956462527,0.000604332467974635,0.0007149848916883007,0.00018725794782312635,41.82432432432432,166.40934844192634,16840.170960765292
andocides.on_the_peace.tess,0.0003774398792192387,0.0019411193788417987,0.00010783996549121104,0.0008087997411840828,0.009220317049498545,0.004421438585139653,0.0003774398792192387,0.00021567993098242207,0.0007078962610206577,0.2713178294573643,0.0026420791545346705,0.010029116790682626,0.004798878464358891,0.0002695999137280276,0.20155038759689922,0.13178294573643412,0.00010783996549121104,0.0003774398792192387,0.0005391998274560553,0.00010783996549121104,40.5625,143.7674418604651,15955.356769424914
antiphon.speeches.part.1.against_the_stepmother_for_poisoning.tess,0.00017308524448290784,0.004067503245348334,0.0,0.0012981393336218088,0.012115967113803548,0.00597144093466032,0.00017308524448290784,0.0006057983556901775,9.350163627863488e-05,0.12857142857142856,0.0025097360450021637,0.010125486802250108,0.0057118130679359586,0.0009519688446559931,0.4142857142857143,0.1,0.00043271311120726956,0.0007788836001730852,0.0008654262224145391,8.654262224145392e-05,39.52777777777778,165.07142857142858,10186.152040816329
antiphon.speeches.part.2.first_tetralogy.tess,0.0007002801120448179,0.004201680672268907,0.00011671335200746966,0.0015172735760971055,0.00834500466853408,0.0032679738562091504,0.00017507002801120448,5.835667600373483e-05,0.00037420481476861667,0.09900990099009901,0.0026260504201680674,0.01196311858076564,0.004843604108309991,0.00046685340802987864,0.21782178217821782,0.009900990099009901,0.00029178338001867413,0.00017507002801120448,0.0005835667600373483,5.835667600373483e-05,43.38709677419355,169.66336633663366,9812.797568865795
antiphon.speeches.part.3.second_tetralogy.tess,0.0002783576896311761,0.0025748086290883787,0.0,0.0013221990257480862,0.008977035490605427,0.0029227557411273487,0.0,0.0,0.0005813108559802354,0.08,0.0029227557411273487,0.011203897007654836,0.004592901878914405,0.0007654836464857342,0.30666666666666664,0.04,0.0,0.0,0.0006958942240779402,6.958942240779402e-05,42.148148148148145,191.6,11236.053333333337
antiphon.speeches.part.4.third_tetralogy.tess,0.00031347962382445143,0.003683385579937304,0.0,0.0014106583072100312,0.009561128526645767,0.0025078369905956114,7.836990595611286e-05,0.0,0.0004983388704318936,0.05333333333333334,0.003605015673981191,0.011755485893416929,0.004467084639498433,0.00039184952978056425,0.32,0.0,0.00031347962382445143,0.00023510971786833856,0.0009404388714733542,0.0,33.80555555555556,170.13333333333333,9293.635555555556
antiphon.speeches.part.5.on_the_murder_of_herodes.tess,0.0005830620475195568,0.003206841261357563,0.0004130022836596861,0.001093241339099169,0.00964481803605267,0.005247558427676012,0.00012147125989990768,2.4294251979981536e-05,0.0010249314577087658,0.09448818897637795,0.003182547009377581,0.01185559496623099,0.006705213546474904,0.0008988873232593169,0.2559055118110236,0.051181102362204724,0.0004130022836596861,0.0007288275593994461,0.0008745930712793353,0.00021864826781983383,36.305263157894736,162.0551181102362,13374.776489552987
antiphon.speeches.part.6.on_the_choreutes.tess,0.0005703255242607704,0.003948407475651487,0.00026322716504343247,0.001491620601912784,0.015925243485127666,0.004825831359129596,8.774238834781083e-05,8.774238834781083e-05,0.0013430900333456835,0.10344827586206896,0.002412915679564798,0.007852943757129069,0.0052645433008686494,0.0008774238834781083,0.4482758620689655,0.13793103448275862,0.0008335526893042029,0.0005703255242607704,0.00043871194173905414,0.00017548477669562167,43.71186440677966,262.0,34073.2183908046
apollodorus.epitome.tess,0.00025030394049917757,0.00312879925623972,1.78788528927984e-05,0.00025030394049917757,0.007616391332332118,0.001752127583494243,0.00012515197024958878,1.78788528927984e-05,0.00014321518080916577,0.0,0.000983336909103912,0.008957305299291998,0.00023242508760637918,0.0004827290281055568,0.12532637075718014,0.0,0.0,0.00012515197024958878,0.0006793964099263392,0.0,47.90384615384615,146.0365535248042,8411.873337469067
apollodorus.library.tess,0.0001411801615728516,0.003200083662317969,4.706005385761719e-05,0.00021438468979581164,0.007299537242803734,0.00242620722110382,7.843342309602866e-05,1.568668461920573e-05,0.0001777982303846717,0.0007246376811594203,0.0018562576799393449,0.011257810661716647,2.0915579492274308e-05,0.00025098695390729167,0.1746376811594203,0.0,7.320452822296008e-05,0.000271902533399566,0.0006902141232450522,2.0915579492274308e-05,41.163120567375884,138.58333333333334,6691.3604468599015
